,ALT_GEO_CODE,CENSUS_YEAR,DATA_QUALITY_FLAG,GEO_CODE,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,GNR_LF,Member ID: Profile of Census Tracts (2247),Profile_of_Census_Tracts,Total-Sex,area,average,format_CODE,percentage,higer/lower,absolute
854,535052101,2016,0,,5350521.01,2,521.01,2.4,2.2,742,Median total income of households in 2015 ($),59217,Toronto,78373,5350521.01,-24.44%,lower,24.44%
78,537005600,2016,0,5370056,,,56,3.2,4,742,Median total income of households in 2015 ($),59227,Hamilton,75464,5370056.00,-21.52%,lower,21.52%
242,535020602,2016,0,,5350206.02,2,206.02,3.4,4.2,742,Median total income of households in 2015 ($),59238,Toronto,78373,5350206.02,-24.42%,lower,24.42%
863,535052402,2016,0,,5350524.02,2,524.02,2.7,3.5,742,Median total income of households in 2015 ($),59296,Toronto,78373,5350524.02,-24.34%,lower,24.34%
140,535011400,2016,1,,5350114,2,114,5,5.8,742,Median total income of households in 2015 ($),59349,Toronto,78373,5350114.00,-24.27%,lower,24.27%
868,535052701,2016,1,,5350527.01,2,527.01,3.3,6.5,742,Median total income of households in 2015 ($),59435,Toronto,78373,5350527.01,-24.16%,lower,24.16%
197,535016901,2016,1,,5350169.01,2,169.01,4.3,6.7,742,Median total income of households in 2015 ($),59477,Toronto,78373,5350169.01,-24.11%,lower,24.11%
535,535037609,2016,0,,5350376.09,2,376.09,2,3.8,742,Median total income of households in 2015 ($),59520,Toronto,78373,5350376.09,-24.06%,lower,24.06%
368,535029401,2016,1,,5350294.01,2,294.01,3.6,6.1,742,Median total income of households in 2015 ($),59548,Toronto,78373,5350294.01,-24.02%,lower,24.02%
866,535052601,2016,0,,5350526.01,2,526.01,3.1,5.6,742,Median total income of households in 2015 ($),59762,Toronto,78373,5350526.01,-23.75%,lower,23.75%
6,541000203,2016,0,5410002.03,,2,2.03,2.9,3.4,742,Median total income of households in 2015 ($),59797,Kitchener - Cambridge - Waterloo,77229,5410002.03,-22.57%,lower,22.57%
802,535051303,2016,0,,5350513.03,2,513.03,5.1,1.3,742,Median total income of households in 2015 ($),59802,Toronto,78373,5350513.03,-23.70%,lower,23.70%
362,535029002,2016,1,,5350290.02,2,290.02,3.7,6.7,742,Median total income of households in 2015 ($),59840,Toronto,78373,5350290.02,-23.65%,lower,23.65%
1,539000100,2016,1,5390001,,2,1,3.1,4.6,742,Median total income of households in 2015 ($),59840,St. Catharines - Niagara,63001,5390001.00,-5.02%,lower,5.02%
182,535015602,2016,1,,5350156.02,2,156.02,3.6,7.5,742,Median total income of households in 2015 ($),59861,Toronto,78373,5350156.02,-23.62%,lower,23.62%
87,541012601,2016,0,5410126.01,,2,126.01,6.4,6.4,742,Median total income of households in 2015 ($),59925,Kitchener - Cambridge - Waterloo,77229,5410126.01,-22.41%,lower,22.41%
48,537002606,2016,0,5370026.06,,,26.06,3.3,7.6,742,Median total income of households in 2015 ($),59936,Hamilton,75464,5370026.06,-20.58%,lower,20.58%
423,535031503,2016,0,,5350315.03,2,315.03,2.5,5.9,742,Median total income of households in 2015 ($),60000,Toronto,78373,5350315.03,-23.44%,lower,23.44%
25,535001900,2016,100,,5350019,2,19,6.8,2.4,742,Median total income of households in 2015 ($),60032,Toronto,78373,5350019.00,-23.40%,lower,23.40%
5,541000202,2016,0,5410002.02,,2,2.02,3.5,4.6,742,Median total income of households in 2015 ($),60032,Kitchener - Cambridge - Waterloo,77229,5410002.02,-22.27%,lower,22.27%
189,535016200,2016,1,,5350162,2,162,5.2,6,742,Median total income of households in 2015 ($),60058,Toronto,78373,5350162.00,-23.37%,lower,23.37%
90,539033102,2016,0,5390331.02,,2,331.02,4.6,4.3,742,Median total income of households in 2015 ($),60203,St. Catharines - Niagara,63001,5390331.02,-4.44%,lower,4.44%
880,535052811,2016,0,,5350528.11,2,528.11,2.4,4.2,742,Median total income of households in 2015 ($),60256,Toronto,78373,5350528.11,-23.12%,lower,23.12%
911,535052901,2016,1,,5350529.01,2,529.01,3.5,8.9,742,Median total income of households in 2015 ($),60256,Toronto,78373,5350529.01,-23.12%,lower,23.12%
436,535032002,2016,0,,5350320.02,2,320.02,2.3,4.3,742,Median total income of households in 2015 ($),60267,Toronto,78373,5350320.02,-23.10%,lower,23.10%
346,535027902,2016,0,,5350279.02,2,279.02,8.7,5.1,742,Median total income of households in 2015 ($),60316,Toronto,78373,5350279.02,-23.04%,lower,23.04%
54,535004600,2016,1,,5350046,2,46,3.3,6.4,742,Median total income of households in 2015 ($),60343,Toronto,78373,5350046.00,-23.01%,lower,23.01%
893,535052831,2016,0,,5350528.31,2,528.31,4.9,5.1,742,Median total income of households in 2015 ($),60373,Toronto,78373,5350528.31,-22.97%,lower,22.97%
58,539021400,2016,0,5390214,,2,214,3.1,4.8,742,Median total income of households in 2015 ($),60390,St. Catharines - Niagara,63001,5390214.00,-4.14%,lower,4.14%
38,537002100,2016,0,5370021,,,21,3.1,4.8,742,Median total income of households in 2015 ($),60442,Hamilton,75464,5370021.00,-19.91%,lower,19.91%
584,535040018,2016,0,,5350400.18,2,400.18,1.6,2.9,742,Median total income of households in 2015 ($),60459,Toronto,78373,5350400.18,-22.86%,lower,22.86%
95,541012702,2016,0,5410127.02,,2,127.02,4.1,4.1,742,Median total income of households in 2015 ($),60474,Kitchener - Cambridge - Waterloo,77229,5410127.02,-21.70%,lower,21.70%
73,532020215,2016,0,5320202.15,,2,202.15,3.1,1.4,742,Median total income of households in 2015 ($),60544,Oshawa,85697,5320202.15,-29.35%,lower,29.35%
236,535020100,2016,1,,5350201,2,201,4.1,7.9,742,Median total income of households in 2015 ($),60608,Toronto,78373,5350201.00,-22.67%,lower,22.67%
239,535020400,2016,1,,5350204,2,204,4.1,6.7,742,Median total income of households in 2015 ($),60608,Toronto,78373,5350204.00,-22.67%,lower,22.67%
91,539033200,2016,0,5390332,,2,332,3.9,6.1,742,Median total income of households in 2015 ($),60621,St. Catharines - Niagara,63001,5390332.00,-3.78%,lower,3.78%
861,535052300,2016,0,,5350523,2,523,2.6,4.7,742,Median total income of households in 2015 ($),60629,Toronto,78373,5350523.00,-22.64%,lower,22.64%
17,537000304,2016,0,5370003.04,,,3.04,3,6.1,742,Median total income of households in 2015 ($),60646,Hamilton,75464,5370003.04,-19.64%,lower,19.64%
89,541012605,2016,0,5410126.05,,2,126.05,3.3,4.7,742,Median total income of households in 2015 ($),60672,Kitchener - Cambridge - Waterloo,77229,5410126.05,-21.44%,lower,21.44%
47,532010300,2016,0,5320103,,2,103,3.7,5.4,742,Median total income of households in 2015 ($),60736,Oshawa,85697,5320103.00,-29.13%,lower,29.13%
77,539030900,2016,0,5390309,,2,309,2.5,3.6,742,Median total income of households in 2015 ($),60736,St. Catharines - Niagara,63001,5390309.00,-3.60%,lower,3.60%
420,535031402,2016,1,,5350314.02,2,314.02,3.4,7.9,742,Median total income of households in 2015 ($),60745,Toronto,78373,5350314.02,-22.49%,lower,22.49%
80,541012100,2016,0,5410121,,2,121,5,3.3,742,Median total income of households in 2015 ($),60779,Kitchener - Cambridge - Waterloo,77229,5410121.00,-21.30%,lower,21.30%
33,539010100,2016,0,5390101,,2,101,3.1,4.1,742,Median total income of households in 2015 ($),60885,St. Catharines - Niagara,63001,5390101.00,-3.36%,lower,3.36%
179,535015400,2016,0,,5350154,2,154,3.2,4,742,Median total income of households in 2015 ($),60928,Toronto,78373,5350154.00,-22.26%,lower,22.26%
355,535028600,2016,0,,5350286,2,286,4.1,4.2,742,Median total income of households in 2015 ($),60928,Toronto,78373,5350286.00,-22.26%,lower,22.26%
4,541000201,2016,0,5410002.01,,2,2.01,3.3,4.3,742,Median total income of households in 2015 ($),60928,Kitchener - Cambridge - Waterloo,77229,5410002.01,-21.11%,lower,21.11%
1141,535081100,2016,0,,5350811,2,811,4.8,4.3,742,Median total income of households in 2015 ($),60992,Toronto,78373,5350811.00,-22.18%,lower,22.18%
613,535040206,2016,0,,5350402.06,2,402.06,2.6,1.3,742,Median total income of households in 2015 ($),61005,Toronto,78373,5350402.06,-22.16%,lower,22.16%
220,535018900,2016,0,,5350189,2,189,4.2,3.7,742,Median total income of households in 2015 ($),61091,Toronto,78373,5350189.00,-22.05%,lower,22.05%
852,535052009,2016,0,,5350520.09,2,520.09,2.9,2.9,742,Median total income of households in 2015 ($),61107,Toronto,78373,5350520.09,-22.03%,lower,22.03%
102,535008300,2016,0,,5350083,2,83,3.6,3.5,742,Median total income of households in 2015 ($),61120,Toronto,78373,5350083.00,-22.01%,lower,22.01%
5,543000300,2016,0,5430003,,2,3,3.2,7,742,Median total income of households in 2015 ($),61133,Brantford,68756,5430003.00,-11.09%,lower,11.09%
550,535037804,2016,0,,5350378.04,2,378.04,2.7,4.9,742,Median total income of households in 2015 ($),61141,Toronto,78373,5350378.04,-21.99%,lower,21.99%
782,535050002,2016,0,,5350500.02,2,500.02,3.7,5,742,Median total income of households in 2015 ($),61161,Toronto,78373,5350500.02,-21.96%,lower,21.96%
162,535013300,2016,0,,5350133,2,133,3.3,5.3,742,Median total income of households in 2015 ($),61184,Toronto,78373,5350133.00,-21.93%,lower,21.93%
77,537005500,2016,0,5370055,,,55,3.4,2.5,742,Median total income of households in 2015 ($),61184,Hamilton,75464,5370055.00,-18.92%,lower,18.92%
104,537008100,2016,0,5370081,,,81,3.7,4.2,742,Median total income of households in 2015 ($),61216,Hamilton,75464,5370081.00,-18.88%,lower,18.88%
376,535029902,2016,1,,5350299.02,2,299.02,3.6,6.1,742,Median total income of households in 2015 ($),61227,Toronto,78373,5350299.02,-21.88%,lower,21.88%
366,535029200,2016,1,,5350292,2,292,4.1,6.2,742,Median total income of households in 2015 ($),61248,Toronto,78373,5350292.00,-21.85%,lower,21.85%
538,535037613,2016,0,,5350376.13,2,376.13,2.4,3.5,742,Median total income of households in 2015 ($),61269,Toronto,78373,5350376.13,-21.82%,lower,21.82%
62,537004000,2016,1,5370040,,,40,4.5,5.8,742,Median total income of households in 2015 ($),61280,Hamilton,75464,5370040.00,-18.80%,lower,18.80%
17,541000600,2016,0,5410006,,2,6,2.3,7,742,Median total income of households in 2015 ($),61344,Kitchener - Cambridge - Waterloo,77229,5410006.00,-20.57%,lower,20.57%
149,537020502,2016,0,5370205.02,,,205.02,6.7,5,742,Median total income of households in 2015 ($),61355,Hamilton,75464,5370205.02,-18.70%,lower,18.70%
260,535022102,2016,0,,5350221.02,2,221.02,5,3.7,742,Median total income of households in 2015 ($),61376,Toronto,78373,5350221.02,-21.69%,lower,21.69%
49,539020800,2016,0,5390208,,2,208,2.7,2.8,742,Median total income of households in 2015 ($),61419,St. Catharines - Niagara,63001,5390208.00,-2.51%,lower,2.51%
50,537002800,2016,0,5370028,,,28,3.2,5.9,742,Median total income of households in 2015 ($),61568,Hamilton,75464,5370028.00,-18.41%,lower,18.41%
18,532000901,2016,1,5320009.01,,2,9.01,3.8,6.7,742,Median total income of households in 2015 ($),61568,Oshawa,85697,5320009.01,-28.16%,lower,28.16%
27,537001000,2016,0,5370010,,,10,2.8,2.9,742,Median total income of households in 2015 ($),61696,Hamilton,75464,5370010.00,-18.24%,lower,18.24%
853,535052010,2016,0,,5350520.1,2,520.1,2.8,5.2,742,Median total income of households in 2015 ($),61811,Toronto,78373,5350520.10,-21.13%,lower,21.13%
209,535018102,2016,1,,5350181.02,2,181.02,3.7,4.6,742,Median total income of households in 2015 ($),61824,Toronto,78373,5350181.02,-21.12%,lower,21.12%
509,535036600,2016,1,,5350366,2,366,2.8,8,742,Median total income of households in 2015 ($),62043,Toronto,78373,5350366.00,-20.84%,lower,20.84%
20,537000501,2016,0,5370005.01,,,5.01,4.3,5.3,742,Median total income of households in 2015 ($),62080,Hamilton,75464,5370005.01,-17.74%,lower,17.74%
7,541000204,2016,0,5410002.04,,2,2.04,2.6,2.8,742,Median total income of households in 2015 ($),62080,Kitchener - Cambridge - Waterloo,77229,5410002.04,-19.62%,lower,19.62%
811,535051604,2016,0,,5350516.04,2,516.04,2.5,3.3,742,Median total income of households in 2015 ($),62176,Toronto,78373,5350516.04,-20.67%,lower,20.67%
534,535037608,2016,0,,5350376.08,2,376.08,2.3,3.3,742,Median total income of households in 2015 ($),62234,Toronto,78373,5350376.08,-20.59%,lower,20.59%
686,535042003,2016,1,,5350420.03,2,420.03,2.6,7.8,742,Median total income of households in 2015 ($),62272,Toronto,78373,5350420.03,-20.54%,lower,20.54%
353,535028400,2016,0,,5350284,2,284,3.5,5.5,742,Median total income of households in 2015 ($),62320,Toronto,78373,5350284.00,-20.48%,lower,20.48%
434,535031900,2016,1,,5350319,2,319,3,5.2,742,Median total income of households in 2015 ($),62336,Toronto,78373,5350319.00,-20.46%,lower,20.46%
864,535052501,2016,0,,5350525.01,2,525.01,2.5,2.4,742,Median total income of households in 2015 ($),62362,Toronto,78373,5350525.01,-20.43%,lower,20.43%
32,541001402,2016,0,5410014.02,,2,14.02,2.8,5.3,742,Median total income of households in 2015 ($),62432,Kitchener - Cambridge - Waterloo,77229,5410014.02,-19.16%,lower,19.16%
1069,535061304,2016,100,,5350613.04,2,613.04,5.2,1.1,742,Median total income of households in 2015 ($),62438,Toronto,78373,5350613.04,-20.33%,lower,20.33%
214,535018402,2016,0,,5350184.02,2,184.02,2.7,1.8,742,Median total income of households in 2015 ($),62464,Toronto,78373,5350184.02,-20.30%,lower,20.30%
372,535029701,2016,0,,5350297.01,2,297.01,4.4,4.2,742,Median total income of households in 2015 ($),62613,Toronto,78373,5350297.01,-20.11%,lower,20.11%
293,535024302,2016,1,,5350243.02,2,243.02,3.2,6.1,742,Median total income of households in 2015 ($),62635,Toronto,78373,5350243.02,-20.08%,lower,20.08%
548,535037802,2016,1,,5350378.02,2,378.02,2,5.5,742,Median total income of households in 2015 ($),62763,Toronto,78373,5350378.02,-19.92%,lower,19.92%
805,535051402,2016,0,,5350514.02,2,514.02,2.4,6.6,742,Median total income of households in 2015 ($),62763,Toronto,78373,5350514.02,-19.92%,lower,19.92%
81,532020400,2016,0,5320204,,2,204,3.7,5.5,742,Median total income of households in 2015 ($),62811,Oshawa,85697,5320204.00,-26.71%,lower,26.71%
480,535035303,2016,0,,5350353.03,2,353.03,2.8,3.8,742,Median total income of households in 2015 ($),62832,Toronto,78373,5350353.03,-19.83%,lower,19.83%
262,535022202,2016,1,,5350222.02,2,222.02,5.1,6.9,742,Median total income of households in 2015 ($),62848,Toronto,78373,5350222.02,-19.81%,lower,19.81%
14,543001102,2016,0,5430011.02,,2,11.02,2.7,3.6,742,Median total income of households in 2015 ($),62874,Brantford,68756,5430011.02,-8.55%,lower,8.55%
10,539000702,2016,0,5390007.02,,2,7.02,2.6,3,742,Median total income of households in 2015 ($),62912,St. Catharines - Niagara,63001,5390007.02,-0.14%,lower,0.14%
303,535024805,2016,101,,5350248.05,2,248.05,5.4,6.5,742,Median total income of households in 2015 ($),62976,Toronto,78373,5350248.05,-19.65%,lower,19.65%
0,539,2016,0,539,,1,St. Catharines - Niagara,4.1,5.1,742,Median total income of households in 2015 ($),63001,St. Catharines - Niagara,63001,539.00,0.00%,higher,0.00%
284,535023703,2016,0,,5350237.03,2,237.03,3.3,4,742,Median total income of households in 2015 ($),63027,Toronto,78373,5350237.03,-19.58%,lower,19.58%
23,535001700,2016,0,,5350017,2,17,4.6,5.4,742,Median total income of households in 2015 ($),63104,Toronto,78373,5350017.00,-19.48%,lower,19.48%
23,537000600,2016,0,5370006,,,6,2.9,5.7,742,Median total income of households in 2015 ($),63159,Hamilton,75464,5370006.00,-16.31%,lower,16.31%
516,535037002,2016,0,,5350370.02,2,370.02,4.7,3.7,742,Median total income of households in 2015 ($),63275,Toronto,78373,5350370.02,-19.26%,lower,19.26%
1026,535059000,2016,0,,5350590,2,590,4,3.6,742,Median total income of households in 2015 ($),63360,Toronto,78373,5350590.00,-19.16%,lower,19.16%
553,535037807,2016,0,,5350378.07,2,378.07,4.3,4.4,742,Median total income of households in 2015 ($),63403,Toronto,78373,5350378.07,-19.10%,lower,19.10%
697,535042104,2016,0,,5350421.04,2,421.04,2.6,2.1,742,Median total income of households in 2015 ($),63424,Toronto,78373,5350421.04,-19.07%,lower,19.07%
637,535041009,2016,0,,5350410.09,2,410.09,3.1,5.9,742,Median total income of households in 2015 ($),63488,Toronto,78373,5350410.09,-18.99%,lower,18.99%
2,539000200,2016,100,5390002,,2,2,5.5,4.7,742,Median total income of households in 2015 ($),63488,St. Catharines - Niagara,63001,5390002.00,0.77%,higher,0.77%
6,539000402,2016,1100,5390004.02,,2,4.02,11.1,6,742,Median total income of households in 2015 ($),63488,St. Catharines - Niagara,63001,5390004.02,0.77%,higher,0.77%
37,541001500,2016,0,5410015,,2,15,2.9,4.1,742,Median total income of households in 2015 ($),63504,Kitchener - Cambridge - Waterloo,77229,5410015.00,-17.77%,lower,17.77%
65,535005300,2016,101,,5350053,2,53,4.2,8.1,742,Median total income of households in 2015 ($),63520,Toronto,78373,5350053.00,-18.95%,lower,18.95%
104,535008500,2016,0,,5350085,2,85,3.7,4.3,742,Median total income of households in 2015 ($),63616,Toronto,78373,5350085.00,-18.83%,lower,18.83%
360,535028900,2016,0,,5350289,2,289,3.3,4.8,742,Median total income of households in 2015 ($),63616,Toronto,78373,5350289.00,-18.83%,lower,18.83%
514,535036900,2016,0,,5350369,2,369,2,3.4,742,Median total income of households in 2015 ($),63616,Toronto,78373,5350369.00,-18.83%,lower,18.83%
558,535037816,2016,0,,5350378.16,2,378.16,2.5,3.9,742,Median total income of households in 2015 ($),63723,Toronto,78373,5350378.16,-18.69%,lower,18.69%
475,535035000,2016,0,,5350350,2,350,2.6,4.1,742,Median total income of households in 2015 ($),63744,Toronto,78373,5350350.00,-18.67%,lower,18.67%
41,541001900,2016,0,5410019,,2,19,3.2,5.2,742,Median total income of households in 2015 ($),63744,Kitchener - Cambridge - Waterloo,77229,5410019.00,-17.46%,lower,17.46%
49,537002700,2016,0,5370027,,,27,3.6,5.5,742,Median total income of households in 2015 ($),63787,Hamilton,75464,5370027.00,-15.47%,lower,15.47%
92,537007000,2016,0,5370070,,,70,3.2,6.7,742,Median total income of households in 2015 ($),63795,Hamilton,75464,5370070.00,-15.46%,lower,15.46%
53,535004500,2016,101,,5350045,2,45,7.2,6.7,742,Median total income of households in 2015 ($),63808,Toronto,78373,5350045.00,-18.58%,lower,18.58%
557,535037814,2016,0,,5350378.14,2,378.14,2.6,4.3,742,Median total income of households in 2015 ($),63829,Toronto,78373,5350378.14,-18.56%,lower,18.56%
100,541013101,2016,100,5410131.01,,2,131.01,4.2,4.7,742,Median total income of households in 2015 ($),63872,Kitchener - Cambridge - Waterloo,77229,5410131.01,-17.30%,lower,17.30%
289,535024002,2016,0,,5350240.02,2,240.02,4.2,3.6,742,Median total income of households in 2015 ($),63983,Toronto,78373,5350240.02,-18.36%,lower,18.36%
1085,535062300,2016,0,,5350623,2,623,4.8,4.9,742,Median total income of households in 2015 ($),64000,Toronto,78373,5350623.00,-18.34%,lower,18.34%
11,529000902,2016,0,5290009.02,,,9.02,4.8,3.4,742,Median total income of households in 2015 ($),64018,Peterborough,64777,5290009.02,-1.17%,lower,1.17%
11,532000700,2016,0,5320007,,2,7,4.4,6.5,742,Median total income of households in 2015 ($),64032,Oshawa,85697,5320007.00,-25.28%,lower,25.28%
383,535030203,2016,0,,5350302.03,2,302.03,2.6,2.2,742,Median total income of households in 2015 ($),64154,Toronto,78373,5350302.03,-18.14%,lower,18.14%
740,535045102,2016,0,,5350451.02,2,451.02,4.2,5.7,742,Median total income of households in 2015 ($),64171,Toronto,78373,5350451.02,-18.12%,lower,18.12%
120,535009704,2016,101,,5350097.04,2,97.04,4.2,4.6,742,Median total income of households in 2015 ($),64205,Toronto,78373,5350097.04,-18.08%,lower,18.08%
50,539020903,2016,0,5390209.03,,2,209.03,9.5,5.1,742,Median total income of households in 2015 ($),64256,St. Catharines - Niagara,63001,5390209.03,1.99%,higher,1.99%
316,535026007,2016,0,,5350260.07,2,260.07,2.9,3.1,742,Median total income of households in 2015 ($),64307,Toronto,78373,5350260.07,-17.95%,lower,17.95%
531,535037604,2016,0,,5350376.04,2,376.04,6.3,5.1,742,Median total income of households in 2015 ($),64307,Toronto,78373,5350376.04,-17.95%,lower,17.95%
92,535007400,2016,1,,5350074,2,74,3.2,4.9,742,Median total income of households in 2015 ($),64384,Toronto,78373,5350074.00,-17.85%,lower,17.85%
126,535010203,2016,0,,5350102.03,2,102.03,4.1,4.9,742,Median total income of households in 2015 ($),64384,Toronto,78373,5350102.03,-17.85%,lower,17.85%
84,539032100,2016,0,5390321,,2,321,4.7,2.8,742,Median total income of households in 2015 ($),64384,St. Catharines - Niagara,63001,5390321.00,2.20%,higher,2.20%
188,535016100,2016,1,,5350161,2,161,3,5.3,742,Median total income of households in 2015 ($),64400,Toronto,78373,5350161.00,-17.83%,lower,17.83%
117,535009602,2016,101,,5350096.02,2,96.02,3.8,5.2,742,Median total income of households in 2015 ($),64512,Toronto,78373,5350096.02,-17.69%,lower,17.69%
20,543001403,2016,0,5430014.03,,2,14.03,3.8,2,742,Median total income of households in 2015 ($),64544,Brantford,68756,5430014.03,-6.13%,lower,6.13%
112,535009200,2016,101,,5350092,2,92,5.3,5,742,Median total income of households in 2015 ($),64569,Toronto,78373,5350092.00,-17.61%,lower,17.61%
121,535009800,2016,0,,5350098,2,98,3.8,4.7,742,Median total income of households in 2015 ($),64614,Toronto,78373,5350098.00,-17.56%,lower,17.56%
382,535030202,2016,1,,5350302.02,2,302.02,2.8,4.9,742,Median total income of households in 2015 ($),64619,Toronto,78373,5350302.02,-17.55%,lower,17.55%
15,550000700,2016,0,5500007,,2,7,4.8,4.5,742,Median total income of households in 2015 ($),64640,Guelph,81223,5500007.00,-20.42%,lower,20.42%
190,535016300,2016,1,,5350163,2,163,3.5,5.7,742,Median total income of households in 2015 ($),64683,Toronto,78373,5350163.00,-17.47%,lower,17.47%
191,535016400,2016,100,,5350164,2,164,4.2,2.6,742,Median total income of households in 2015 ($),64736,Toronto,78373,5350164.00,-17.40%,lower,17.40%
0,529,2016,0,529,,,Peterborough,4.5,4.5,742,Median total income of households in 2015 ($),64777,Peterborough,64777,529.00,0.00%,higher,0.00%
4,529000300,2016,0,5290003,,,3,5.2,5.4,742,Median total income of households in 2015 ($),64811,Peterborough,64777,5290003.00,0.05%,higher,0.05%
185,535015901,2016,1,,5350159.01,2,159.01,3.4,3.7,742,Median total income of households in 2015 ($),64875,Toronto,78373,5350159.01,-17.22%,lower,17.22%
287,535023900,2016,1,,5350239,2,239,3,8,742,Median total income of households in 2015 ($),64896,Toronto,78373,5350239.00,-17.20%,lower,17.20%
555,535037811,2016,0,,5350378.11,2,378.11,2.7,5.3,742,Median total income of households in 2015 ($),64896,Toronto,78373,5350378.11,-17.20%,lower,17.20%
308,535025001,2016,1,,5350250.01,2,250.01,4.7,7.5,742,Median total income of households in 2015 ($),64928,Toronto,78373,5350250.01,-17.16%,lower,17.16%
55,541010400,2016,0,5410104,,2,104,3.2,4.6,742,Median total income of households in 2015 ($),64928,Kitchener - Cambridge - Waterloo,77229,5410104.00,-15.93%,lower,15.93%
36,537001900,2016,1,5370019,,,19,3.5,6.8,742,Median total income of households in 2015 ($),64960,Hamilton,75464,5370019.00,-13.92%,lower,13.92%
322,535026304,2016,0,,5350263.04,2,263.04,4.1,5.2,742,Median total income of households in 2015 ($),64981,Toronto,78373,5350263.04,-17.09%,lower,17.09%
294,535024401,2016,1,,5350244.01,2,244.01,2.9,6.2,742,Median total income of households in 2015 ($),65067,Toronto,78373,5350244.01,-16.98%,lower,16.98%
286,535023802,2016,0,,5350238.02,2,238.02,2.4,6,742,Median total income of households in 2015 ($),65088,Toronto,78373,5350238.02,-16.95%,lower,16.95%
2,529000102,2016,1,5290001.02,,,1.02,3.2,7.1,742,Median total income of households in 2015 ($),65097,Peterborough,64777,5290001.02,0.49%,higher,0.49%
241,535020601,2016,0,,5350206.01,2,206.01,3.5,3.7,742,Median total income of households in 2015 ($),65189,Toronto,78373,5350206.01,-16.82%,lower,16.82%
302,535024804,2016,101,,5350248.04,2,248.04,5.2,4.8,742,Median total income of households in 2015 ($),65280,Toronto,78373,5350248.04,-16.71%,lower,16.71%
321,535026303,2016,0,,5350263.03,2,263.03,7.5,4.4,742,Median total income of households in 2015 ($),65280,Toronto,78373,5350263.03,-16.71%,lower,16.71%
24,550001200,2016,100,5500012,,2,12,9.7,2.9,742,Median total income of households in 2015 ($),65280,Guelph,81223,5500012.00,-19.63%,lower,19.63%
390,535030406,2016,0,,5350304.06,2,304.06,2.5,2.7,742,Median total income of households in 2015 ($),65371,Toronto,78373,5350304.06,-16.59%,lower,16.59%
354,535028500,2016,1,,5350285,2,285,2.9,7.9,742,Median total income of households in 2015 ($),65376,Toronto,78373,5350285.00,-16.58%,lower,16.58%
333,535027102,2016,0,,5350271.02,2,271.02,2.8,3.7,742,Median total income of households in 2015 ($),65408,Toronto,78373,5350271.02,-16.54%,lower,16.54%
160,537021300,2016,1,5370213,,,213,4.8,8.9,742,Median total income of households in 2015 ($),65434,Hamilton,75464,5370213.00,-13.29%,lower,13.29%
918,535053202,2016,0,,5350532.02,2,532.02,2.2,2.7,742,Median total income of households in 2015 ($),65536,Toronto,78373,5350532.02,-16.38%,lower,16.38%
1039,535060600,2016,0,,5350606,2,606,2.8,4.8,742,Median total income of households in 2015 ($),65536,Toronto,78373,5350606.00,-16.38%,lower,16.38%
51,541010103,2016,1,5410101.03,,2,101.03,3.9,7.2,742,Median total income of households in 2015 ($),65536,Kitchener - Cambridge - Waterloo,77229,5410101.03,-15.14%,lower,15.14%
769,535048001,2016,1,,5350480.01,2,480.01,4,7.2,742,Median total income of households in 2015 ($),65621,Toronto,78373,5350480.01,-16.27%,lower,16.27%
26,568001400,2016,0,5680014,,2,14,3.8,4.1,742,Median total income of households in 2015 ($),65682,Barrie,80788,5680014.00,-18.70%,lower,18.70%
400,535030707,2016,101,,5350307.07,2,307.07,3.2,3.1,742,Median total income of households in 2015 ($),65764,Toronto,78373,5350307.07,-16.09%,lower,16.09%
554,535037808,2016,0,,5350378.08,2,378.08,1.8,5,742,Median total income of households in 2015 ($),65818,Toronto,78373,5350378.08,-16.02%,lower,16.02%
86,541012500,2016,0,5410125,,2,125,3.2,4.8,742,Median total income of households in 2015 ($),65890,Kitchener - Cambridge - Waterloo,77229,5410125.00,-14.68%,lower,14.68%
7,532000401,2016,1,5320004.01,,2,4.01,4.4,7.5,742,Median total income of households in 2015 ($),65920,Oshawa,85697,5320004.01,-23.08%,lower,23.08%
41,539020100,2016,0,5390201,,2,201,4.1,5.3,742,Median total income of households in 2015 ($),65952,St. Catharines - Niagara,63001,5390201.00,4.68%,higher,4.68%
1,541000101,2016,1,5410001.01,,2,1.01,4.5,5,742,Median total income of households in 2015 ($),65993,Kitchener - Cambridge - Waterloo,77229,5410001.01,-14.55%,lower,14.55%
657,535041123,2016,0,,5350411.23,2,411.23,2.3,2.1,742,Median total income of households in 2015 ($),65997,Toronto,78373,5350411.23,-15.79%,lower,15.79%
108,537008402,2016,0,5370084.02,,,84.02,2.8,3.2,742,Median total income of households in 2015 ($),65997,Hamilton,75464,5370084.02,-12.55%,lower,12.55%
309,535025002,2016,0,,5350250.02,2,250.02,3.4,4.8,742,Median total income of households in 2015 ($),66112,Toronto,78373,5350250.02,-15.64%,lower,15.64%
330,535027001,2016,1,,5350270.01,2,270.01,2.8,5.2,742,Median total income of households in 2015 ($),66158,Toronto,78373,5350270.01,-15.59%,lower,15.59%
956,535057307,2016,1,,5350573.07,2,573.07,3.4,7,742,Median total income of households in 2015 ($),66176,Toronto,78373,5350573.07,-15.56%,lower,15.56%
